"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80041;"Jaguaré";2018;"Total da Seleção";14.021
80041;"Jaguaré";2018;"Total Geral da População";54.203
80042;"Jaraguá";2018;"00 a 03 anos";12.546
80042;"Jaraguá";2018;"04 a 05 anos";6.152
80042;"Jaraguá";2018;"06 anos";3.003
80042;"Jaraguá";2018;"07 a 10 anos";11.516
80042;"Jaraguá";2018;"11 a 14 anos";11.391
80042;"Jaraguá";2018;"15 a 17 anos";9.821
80042;"Jaraguá";2018;"18 a 19 anos";7.057
80042;"Jaraguá";2018;"Total da Seleção";61.486
80042;"Jaraguá";2018;"Total Geral da População";207.640
80043;"Jardim Ângela";2018;"00 a 03 anos";21.281
80043;"Jardim Ângela";2018;"04 a 05 anos";10.664
80043;"Jardim Ângela";2018;"06 anos";5.257
80043;"Jardim Ângela";2018;"07 a 10 anos";20.404
80043;"Jardim Ângela";2018;"11 a 14 anos";20.089
80043;"Jardim Ângela";2018;"15 a 17 anos";16.523
80043;"Jardim Ângela";2018;"18 a 19 anos";11.609
80043;"Jardim Ângela";2018;"Total da Seleção";105.827
80043;"Jardim Ângela";2018;"Total Geral da População";329.893
80044;"Jardim Helena";2018;"00 a 03 anos";9.041
80044;"Jardim Helena";2018;"04 a 05 anos";4.430
80044;"Jardim Helena";2018;"06 anos";2.140
80044;"Jardim Helena";2018;"07 a 10 anos";7.982
80044;"Jardim Helena";2018;"11 a 14 anos";7.491
80044;"Jardim Helena";2018;"15 a 17 anos";6.306
80044;"Jardim Helena";2018;"18 a 19 anos";4.557
80044;"Jardim Helena";2018;"Total da Seleção";41.947
80044;"Jardim Helena";2018;"Total Geral da População";135.109
80045;"Jardim Paulista";2018;"00 a 03 anos";3.328
80045;"Jardim Paulista";2018;"04 a 05 anos";1.695
80045;"Jardim Paulista";2018;"06 anos";818
80045;"Jardim Paulista";2018;"07 a 10 anos";2.960
80045;"Jardim Paulista";2018;"11 a 14 anos";2.467
80045;"Jardim Paulista";2018;"15 a 17 anos";1.808
80045;"Jardim Paulista";2018;"18 a 19 anos";1.240
80045;"Jardim Paulista";2018;"Total da Seleção";14.316
80045;"Jardim Paulista";2018;"Total Geral da População";90.455
80046;"Jardim São Luís";2018;"00 a 03 anos";17.060
80046;"Jardim São Luís";2018;"04 a 05 anos";8.495
80046;"Jardim São Luís";2018;"06 anos";4.148
80046;"Jardim São Luís";2018;"07 a 10 anos";15.771
80046;"Jardim São Luís";2018;"11 a 14 anos";15.130
80046;"Jardim São Luís";2018;"15 a 17 anos";12.643
80046;"Jardim São Luís";2018;"18 a 19 anos";8.983
80046;"Jardim São Luís";2018;"Total da Seleção";82.230
80046;"Jardim São Luís";2018;"Total Geral da População";288.748
80047;"José Bonifácio";2018;"00 a 03 anos";6.666
80047;"José Bonifácio";2018;"04 a 05 anos";3.394
80047;"José Bonifácio";2018;"06 anos";1.710
80047;"José Bonifácio";2018;"07 a 10 anos";6.941
80047;"José Bonifácio";2018;"11 a 14 anos";7.287
80047;"José Bonifácio";2018;"15 a 17 anos";6.009
80047;"José Bonifácio";2018;"18 a 19 anos";4.227
80047;"José Bonifácio";2018;"Total da Seleção";36.234
80047;"José Bonifácio";2018;"Total Geral da População";134.369
80096;"Lajeado";2018;"00 a 03 anos";11.128
80096;"Lajeado";2018;"04 a 05 anos";5.494
80096;"Lajeado";2018;"06 anos";2.680
80096;"Lajeado";2018;"07 a 10 anos";10.217
80096;"Lajeado";2018;"11 a 14 anos";9.911
80096;"Lajeado";2018;"15 a 17 anos";8.319
80096;"Lajeado";2018;"18 a 19 anos";6.026
80096;"Lajeado";2018;"Total da Seleção";53.775
80096;"Lajeado";2018;"Total Geral da População";172.402
80048;"Lapa";2018;"00 a 03 anos";2.600
80048;"Lapa";2018;"04 a 05 anos";1.369
80048;"Lapa";2018;"06 anos";678
80048;"Lapa";2018;"07 a 10 anos";2.582
80048;"Lapa";2018;"11 a 14 anos";2.374
80048;"Lapa";2018;"15 a 17 anos";1.813
80048;"Lapa";2018;"18 a 19 anos";1.254
80048;"Lapa";2018;"Total da Seleção";12.670
80048;"Lapa";2018;"Total Geral da População";67.063
80049;"Liberdade";2018;"00 a 03 anos";3.166
80049;"Liberdade";2018;"04 a 05 anos";1.626
80049;"Liberdade";2018;"06 anos";786
80049;"Liberdade";2018;"07 a 10 anos";2.851
80049;"Liberdade";2018;"11 a 14 anos";2.411
80049;"Liberdade";2018;"15 a 17 anos";1.837
80049;"Liberdade";2018;"18 a 19 anos";1.291
80049;"Liberdade";2018;"Total da Seleção";13.968
80049;"Liberdade";2018;"Total Geral da População";72.206
80050;"Limão";2018;"00 a 03 anos";4.489
80050;"Limão";2018;"04 a 05 anos";2.237
80050;"Limão";2018;"06 anos";1.080
80050;"Limão";2018;"07 a 10 anos";3.966
80050;"Limão";2018;"11 a 14 anos";3.556
80050;"Limão";2018;"15 a 17 anos";2.920
80050;"Limão";2018;"18 a 19 anos";2.073
80050;"Limão";2018;"Total da Seleção";20.321
80050;"Limão";2018;"Total Geral da População";79.567
80051;"Mandaqui";2018;"00 a 03 anos";4.923
80051;"Mandaqui";2018;"04 a 05 anos";2.497
80051;"Mandaqui";2018;"06 anos";1.225
80051;"Mandaqui";2018;"07 a 10 anos";4.675
80051;"Mandaqui";2018;"11 a 14 anos";4.503
80051;"Mandaqui";2018;"15 a 17 anos";3.765
80051;"Mandaqui";2018;"18 a 19 anos";2.733
80051;"Mandaqui";2018;"Total da Seleção";24.321
80051;"Mandaqui";2018;"Total Geral da População";109.031
80052;"Marsilac";2018;"00 a 03 anos";424
80052;"Marsilac";2018;"04 a 05 anos";208
80052;"Marsilac";2018;"06 anos";104
80052;"Marsilac";2018;"07 a 10 anos";438
80052;"Marsilac";2018;"11 a 14 anos";494
80052;"Marsilac";2018;"15 a 17 anos";436
80052;"Marsilac";2018;"18 a 19 anos";322
80052;"Marsilac";2018;"Total da Seleção";2.426
80052;"Marsilac";2018;"Total Geral da População";8.370
80032;"Moema";2018;"00 a 03 anos";3.100
80032;"Moema";2018;"04 a 05 anos";1.665
80032;"Moema";2018;"06 anos";830
80032;"Moema";2018;"07 a 10 anos";3.183
80032;"Moema";2018;"11 a 14 anos";2.905
80032;"Moema";2018;"15 a 17 anos";2.110
80032;"Moema";2018;"18 a 19 anos";1.446
80032;"Moema";2018;"Total da Seleção";15.239
80032;"Moema";2018;"Total Geral da População";88.515
80053;"Mooca";2018;"00 a 03 anos";3.470
80053;"Mooca";2018;"04 a 05 anos";1.794
80053;"Mooca";2018;"06 anos";878
80053;"Mooca";2018;"07 a 10 anos";3.274
80053;"Mooca";2018;"11 a 14 anos";2.932
80053;"Mooca";2018;"15 a 17 anos";2.265
80053;"Mooca";2018;"18 a 19 anos";1.608
80053;"Mooca";2018;"Total da Seleção";16.221
80053;"Mooca";2018;"Total Geral da População";79.662
80054;"Morumbi";2018;"00 a 03 anos";2.777
80054;"Morumbi";2018;"04 a 05 anos";1.381
80054;"Morumbi";2018;"06 anos";664
80054;"Morumbi";2018;"07 a 10 anos";2.427
80054;"Morumbi";2018;"11 a 14 anos";2.176
80054;"Morumbi";2018;"15 a 17 anos";1.828
80054;"Morumbi";2018;"18 a 19 anos";1.301
80054;"Morumbi";2018;"Total da Seleção";12.554
80054;"Morumbi";2018;"Total Geral da População";51.914
80055;"Parelheiros";2018;"00 a 03 anos";10.242
80055;"Parelheiros";2018;"04 a 05 anos";4.932
80055;"Parelheiros";2018;"06 anos";2.387
80055;"Parelheiros";2018;"07 a 10 anos";9.043
80055;"Parelheiros";2018;"11 a 14 anos";8.833
80055;"Parelheiros";2018;"15 a 17 anos";7.635
80055;"Parelheiros";2018;"18 a 19 anos";5.509
80055;"Parelheiros";2018;"Total da Seleção";48.581
80055;"Parelheiros";2018;"Total Geral da População";149.108
80056;"Pari";2018;"00 a 03 anos";1.192
80056;"Pari";2018;"04 a 05 anos";590
